Name,Department,Experience,Salary,Location
Employee_1,Product,7,53779,Delhi
Employee_2,Finance,4,121190,Bangalore
Employee_3,HR,13,160678,Mumbai
Employee_4,Finance,15,173760,Hyderabad
Employee_5,Product,11,57317,Bangalore
Employee_6,Data Science,8,50159,Mumbai
Employee_7,Marketing,13,175373,Mumbai
Employee_8,Marketing,5,107115,Hyderabad
Employee_9,Finance,7,69462,Remote
Employee_10,HR,10,52917,Pune
Employee_11,Marketing,3,76125,Remote
Employee_12,Product,7,97277,Pune
Employee_13,Product,11,64349,Mumbai
Employee_14,Product,11,110715,Mumbai
Employee_15,HR,8,57902,Remote
Employee_16,Marketing,5,171345,Delhi
Employee_17,Engineering,4,129569,Delhi
Employee_18,Data Science,8,152148,Chennai
Employee_19,Marketing,8,153001,Mumbai
Employee_20,Finance,3,85158,Bangalore
Employee_21,Engineering,6,53917,Remote
Employee_22,HR,5,129742,Bangalore
Employee_23,Data Science,2,193692,Mumbai
Employee_24,Product,8,177330,Remote
Employee_25,HR,12,153246,Pune
Employee_26,HR,14,74691,Remote
Employee_27,Marketing,6,120734,Chennai
Employee_28,Engineering,2,76046,Delhi
Employee_29,Data Science,12,192343,Delhi
Employee_30,Engineering,5,168540,Remote
Employee_31,Engineering,1,93798,Remote
Employee_32,Operations,12,173293,Pune
Employee_33,Marketing,10,124396,Chennai
Employee_34,HR,6,131298,Mumbai
Employee_35,Engineering,13,182040,Chennai
Employee_36,HR,12,55800,Bangalore
Employee_37,Engineering,9,108524,Mumbai
Employee_38,Data Science,1,146585,Mumbai
Employee_39,Finance,11,170279,Pune
Employee_40,Finance,11,179925,Chennai
Employee_41,Finance,15,185891,Chennai
Employee_42,Marketing,10,106784,Hyderabad
Employee_43,Marketing,12,137175,Pune
Employee_44,HR,12,96935,Hyderabad
Employee_45,Marketing,15,185070,Delhi
Employee_46,Finance,14,91750,Hyderabad
Employee_47,Marketing,14,186252,Remote
Employee_48,Product,15,128288,Delhi
Employee_49,Finance,14,80513,Bangalore
Employee_50,Engineering,3,153725,Hyderabad
Employee_51,Product,12,67879,Chennai
Employee_52,Operations,7,139898,Delhi
Employee_53,Finance,4,111833,Remote
Employee_54,Finance,9,64316,Pune
Employee_55,Data Science,3,55378,Pune
Employee_56,Operations,5,183649,Remote
Employee_57,Data Science,3,156437,Delhi
Employee_58,Data Science,7,127383,Remote
Employee_59,Data Science,5,137288,Bangalore
Employee_60,Product,9,131976,Hyderabad
Employee_61,Product,7,123008,Chennai
Employee_62,Product,2,138297,Delhi
Employee_63,Finance,4,133868,Bangalore
Employee_64,HR,9,132142,Bangalore
Employee_65,Product,12,144534,Hyderabad
Employee_66,Data Science,14,87985,Chennai
Employee_67,Marketing,2,194609,Hyderabad
Employee_68,Marketing,10,92717,Delhi
Employee_69,Marketing,9,190099,Pune
Employee_70,Finance,10,183608,Chennai
Employee_71,Engineering,5,52525,Remote
Employee_72,Product,2,190248,Pune
Employee_73,Operations,4,120423,Remote
Employee_74,Operations,12,139642,Hyderabad
Employee_75,Engineering,15,130383,Remote
Employee_76,Product,12,126788,Chennai
Employee_77,Data Science,7,120013,Remote
Employee_78,Marketing,12,174326,Bangalore
Employee_79,Operations,13,67755,Pune
Employee_80,Data Science,8,69608,Pune
Employee_81,Finance,15,166562,Bangalore
Employee_82,Product,3,109843,Mumbai
Employee_83,Marketing,14,102513,Bangalore
Employee_84,Data Science,1,121640,Hyderabad
Employee_85,HR,4,149446,Bangalore
Employee_86,Finance,2,62726,Pune
Employee_87,Operations,8,56898,Pune
Employee_88,Operations,4,133508,Delhi
Employee_89,Finance,2,119878,Bangalore
Employee_90,Finance,14,98008,Pune
Employee_91,HR,6,184434,Pune
Employee_92,Operations,6,130119,Pune
Employee_93,Engineering,10,192176,Hyderabad
Employee_94,Operations,4,67628,Delhi
Employee_95,Engineering,6,127465,Pune
Employee_96,HR,13,142210,Mumbai
Employee_97,Operations,15,159093,Bangalore
Employee_98,Engineering,2,194340,Mumbai
Employee_99,HR,10,137226,Hyderabad
Employee_100,Data Science,12,145756,Remote
Employee_101,HR,2,114734,Chennai
Employee_102,Engineering,10,191776,Pune
Employee_103,Product,14,120050,Hyderabad
Employee_104,HR,4,162726,Bangalore
Employee_105,HR,14,98308,Remote
Employee_106,Product,15,146428,Remote
